CustomerID,Geography,Gender,Age_Band,TenureYears,EstimatedIncome,BalanceEuros,NoProducts,CreditCardholder,CustomerWithLoan,Digital_TRX_ratio,Inactive,Is_45_65,More_than_3_prods,older_with_loan,older_with_no_credit_card
5188208,Rest_GR,Male,18-25,0,40683.96,50086.212,1,0,0,0.38,0,0,0,0,0
8683784,Thessaloniki,Female,65+,4,2429.51,0.0,1,1,0,0.33,1,0,0,0,0
3512360,Athens,Male,45-55,4,41694.49,26852.7072,1,1,1,0.72,0,1,0,1,0
7104818,Rest_GR,Male,25-35,5,74523.33,90325.62,1,0,0,0.08,0,0,0,0,0
6712745,Rest_GR,Female,25-35,9,111050.49,100537.0608,2,0,0,1.38,0,0,0,0,0
1142583,Thessaloniki,Male,25-35,1,156554.37,37015.8954,2,0,0,0.67,0,0,0,0,0
899340,Thessaloniki,Male,55-65,8,87476.57,51946.7256,1,1,1,0.51,0,1,0,1,0
5422659,Rest_GR,Male,25-35,4,81771.38,72049.8042,1,1,1,0.81,0,0,0,0,0
9836076,Rest_GR,Female,35-45,6,25149.77,112088.7636,2,1,1,0.76,0,0,0,0,0
654985,Rest_GR,Female,25-35,1,97075.41,67077.8064,1,1,0,0.54,0,0,0,0,0
996563,Rest_GR,Male,35-45,10,172105.75,81298.8066,2,1,1,0.8,0,0,0,0,0
4446557,Rest_GR,Female,25-35,5,99881.46,99478.8498,2,0,1,0.76,0,0,0,0,0
9427195,Athens,Female,18-25,8,16836.61,64926.3516,1,1,0,0.89,0,0,0,0,0
4136312,Rest_GR,Male,55-65,2,25685.26,88271.9904,4,1,0,0.71,1,1,1,0,0
1118689,Athens,Male,25-35,6,30539.87,0.0,1,1,0,0.82,0,0,0,0,0
7053531,Thessaloniki,Female,35-45,0,39457.09,107980.7388,1,0,1,0.69,0,0,0,0,0
7368071,Rest_GR,Female,18-25,5,51831.32,104135.3544,2,1,1,0.83,0,0,0,0,0
5871878,Athens,Male,35-45,9,127639.29,0.0,2,0,1,0.58,0,0,0,0,0
9520870,Athens,Female,18-25,1,20477.56,117954.0054,2,1,0,1.05,0,0,0,0,0
8195218,Athens,Male,45-55,8,122070.63,0.0,2,1,1,0.84,0,1,0,1,0
5186521,Athens,Female,25-35,9,129943.26,0.0,1,1,1,0.67,0,0,0,0,0
1370699,Thessaloniki,Male,25-35,5,169988.48,50987.1252,1,0,1,0.86,0,0,0,0,0
1732736,Rest_GR,Female,35-45,10,86522.4,80645.1756,2,1,0,0.84,0,0,0,0,0
6629931,Athens,Female,25-35,1,150129.88,63786.0564,2,0,0,0.51,0,0,0,0,0
5743209,Athens,Female,25-35,2,119718.63,0.0,1,1,0,0.69,1,0,0,0,0
4953459,Athens,Female,35-45,3,23637.04,0.0,2,0,0,0.77,0,0,0,0,0
3694639,Athens,Female,25-35,4,139534.7,59603.0292,1,1,1,0.8,0,0,0,0,0
1874495,Athens,Female,45-55,4,2659.66,0.0,2,1,0,0.52,0,1,0,0,0
5277078,Thessaloniki,Female,65+,10,100767.9,0.0,2,1,1,0.58,0,0,0,0,0
8761470,Thessaloniki,Male,18-25,3,112919.71,80310.0012,1,1,0,0.58,1,0,0,0,0
1019433,Athens,Male,25-35,9,133126.33,0.0,2,1,0,0.7,0,0,0,0,0
9987576,Athens,Female,45-55,4,82128.74,0.0,3,1,0,0.31,1,1,1,0,0
8960095,Rest_GR,Female,25-35,3,137408.48,53871.6222,2,1,1,0.66,0,0,0,0,0
